x;y;z;State_predicted
7.558155567;2.066392772;93.932619322;broken
6.240132497;3.750541384;87.106214748;broken
5.64263063;5.566525255;80.853562814;broken
5.62436534;7.64334335;75.160408434;broken
6.108920062;10.164539331;70.045186136;broken
7.082268687;13.366835524;65.572485737;broken
8.590564728;17.550201657;61.882535948;broken
10.740877591;23.091076747;59.246120695;broken
13.704925388;30.444482421;58.16032523;broken
17.722419076;40.102750437;59.503429608;broken
23.093698603;52.43664165;64.748154848;broken
30.136004934;67.266411857;76.130753309;broken
39.047302596;82.93111393;96.352214131;broken
49.579417316;94.82029528;126.766995393;broken
60.437228027;94.657887963;163.068609279;broken
68.650186412;74.640892345;191.885709174;broken
70.087955836;38.222815102;198.989914703;broken
62.44032206;2.455967484;185.358812277;broken
48.044076962;-19.609689787;163.981652065;broken
31.807172942;-28.608609309;144.458016839;broken
17.307385202;-30.658502331;129.426870172;broken
5.795572194;-30.479390545;118.349833133;broken
-2.910418863;-30.460243642;110.222262134;broken
-9.52237681;-31.570852243;104.397369638;broken
-14.814010914;-34.115482416;100.645463069;broken
-19.446364075;-38.098128831;99.057562497;broken
-23.922787616;-43.332414084;99.954321609;broken
-28.581097968;-49.398365024;103.785941678;broken
-33.577242062;-55.507508485;110.946903755;broken
-38.840506003;-60.362255514;121.418872656;broken
-44.005725886;-62.196215757;134.248847138;broken
-48.371443455;-59.280519983;147.164807781;broken
-50.989621822;-50.988625415;156.97562795;broken
-50.989382684;-38.761121355;161.066026263;broken
-48.054599965;-25.739235068;158.934872126;broken
-42.69891239;-14.96623803;152.180071699;broken
-36.043070543;-7.874315886;143.087809195;broken
-29.282569426;-4.276842797;133.405815011;broken
-23.281195035;-3.235797386;124.047513331;broken
-18.470299599;-3.79393991;115.345900656;broken
-14.947973274;-5.276813501;107.364428078;broken
-12.626894928;-7.319104581;100.087224631;broken
-11.353025245;-9.795707291;93.503732489;broken
-10.979268936;-12.747292019;87.641768042;broken
-11.403594476;-16.327144971;82.587354483;broken
-12.585246595;-20.768762551;78.511872;broken
-14.549290424;-26.362749625;75.71812663;broken
-17.384520632;-33.423010078;74.712850574;broken
-21.233758099;-42.207517523;76.304084801;broken
-26.267460361;-52.73322061;81.688055393;broken
-32.619242821;-64.396639378;92.393237524;broken
-40.245817994;-75.345652519;109.753321799;broken
-48.66977828;-81.847381558;133.42635841;broken
-56.632403067;-78.734140772;159.135085745;broken
-61.936820116;-62.677002005;178.309112932;broken
-62.114463769;-37.176197409;183.468802369;broken
-56.129279843;-11.971396384;175.145365321;broken
-45.531387813;5.297126083;160.138360695;broken
-33.332544478;13.824775773;144.494843469;broken
-22.014787618;16.619221373;130.778946126;broken
-12.74262546;16.769556159;119.304612762;broken
-5.659701871;16.241693314;109.661149873;broken
-0.403367027;16.052581468;101.421316693;broken
